ms.zoning,lot.frontage,lot.area,street,alley,lot.shape,land.contour,lot.config,land.slope,neighborhood,condition.1,condition.2,bldg.type,house.style,overall.qual,overall.cond,year.built,year.remod.add,roof.style,roof.matl,exterior.1st,exterior.2nd,mas.vnr.type,mas.vnr.area,exter.qual,exter.cond,foundation,bsmt.qual,bsmt.cond,bsmt.exposure,bsmtfin.type.1,bsmtfin.sf.1,bsmtfin.type.2,bsmtfin.sf.2,bsmt.unf.sf,total.bsmt.sf,heating,heating.qc,central.air,electrical,x1st.flr.sf,x2nd.flr.sf,low.qual.fin.sf,gr.liv.area,bsmt.full.bath,bsmt.half.bath,full.bath,half.bath,bedroom.abvgr,kitchen.abvgr,kitchen.qual,totrms.abvgrd,functional,fireplaces,fireplace.qu,garage.type,garage.yr.blt,garage.finish,garage.cars,garage.area,garage.qual,garage.cond,paved.drive,wood.deck.sf,open.porch.sf,enclosed.porch,x3ssn.porch,screen.porch,pool.area,pool.qc,fence,misc.feature,mo.sold,yr.sold,sale.type,sale.condition,saleprice,ln.lot.frontage,ln.lot.area,house.age,yrs.since.remod,has.2nd.floor
RL,141,31770,Pave,No Alley,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112,TA,TA,CBlock,TA,Gd,Gd,BLQ,639,Unf,0,441,1080,GasA,Fa,Y,SB,1656,0,0,1656,1,0,1,0,3,1,TA,7,Typ,2,Gd,A,1960,Fin,2,528,TA,TA,P,210,62,0,0,0,0,No Pool,No Fence,No Feature,5,2010,Warranty Deed,Normal,215000,4.948759890378168,10.366277727263562,50,50,0
RH,80,11622,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No Exposure,Rec,468,LwQ,144,270,882,GasA,TA,Y,SB,896,0,0,896,0,0,1,0,2,1,TA,5,Typ,0,No Fireplace,A,1961,Unf,1,730,TA,TA,Y,140,0,0,0,120,0,No Pool,MnPrv,No Feature,6,2010,Warranty Deed,Normal,105000,4.382026634673881,9.360655132635051,49,49,0
RL,81,14267,Pave,No Alley,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108,TA,TA,CBlock,TA,TA,No Exposure,ALQ,923,Unf,0,406,1329,GasA,TA,Y,SB,1329,0,0,1329,0,0,1,1,3,1,Gd,6,Typ,0,No Fireplace,A,1958,Unf,1,312,TA,TA,Y,393,36,0,0,0,0,No Pool,No Fence,Feature,6,2010,Warranty Deed,Normal,172000,4.394449154672439,9.565704457114814,52,52,0
RL,93,11160,Pave,No Alley,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0,Gd,TA,CBlock,TA,TA,No Exposure,ALQ,1065,Unf,0,1045,2110,GasA,Ex,Y,SB,2110,0,0,2110,1,0,2,1,3,1,Ex,8,Typ,2,TA,A,1968,Fin,2,522,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,4,2010,Warranty Deed,Normal,244000,4.532599493153256,9.320091235935301,42,42,0
RL,78,9978,Pave,No Alley,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,TA,TA,PConc,TA,TA,No Exposure,GLQ,602,Unf,0,324,926,GasA,Ex,Y,SB,926,678,0,1604,0,0,2,1,3,1,Gd,7,Typ,1,Gd,A,1998,Fin,2,470,TA,TA,Y,360,36,0,0,0,0,No Pool,No Fence,No Feature,6,2010,Warranty Deed,Normal,195500,4.356708826689592,9.208137948420983,12,12,1
RL,41,4920,Pave,No Alley,Reg,Lvl,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,None,0,Gd,TA,PConc,Gd,TA,Mn,GLQ,616,Unf,0,722,1338,GasA,Ex,Y,SB,1338,0,0,1338,1,0,2,0,2,1,Gd,6,Typ,0,No Fireplace,A,2001,Fin,2,582,TA,TA,Y,0,0,170,0,0,0,No Pool,No Fence,No Feature,4,2010,Warranty Deed,Normal,213500,3.713572066704308,8.501063809486354,9,9,0
RL,43,5005,Pave,No Alley,IR1,HLS,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,No Exposure,ALQ,263,Unf,0,1017,1280,GasA,Ex,Y,SB,1280,0,0,1280,0,0,2,0,2,1,Gd,5,Typ,0,No Fireplace,A,1992,RFn,2,506,TA,TA,Y,0,82,0,0,144,0,No Pool,No Fence,No Feature,1,2010,Warranty Deed,Normal,191500,3.7612001156935624,8.518192691749322,18,18,0
RL,39,5389,Pave,No Alley,IR1,Lvl,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,0,Gd,TA,PConc,Gd,TA,No Exposure,GLQ,1180,Unf,0,415,1595,GasA,Ex,Y,SB,1616,0,0,1616,1,0,2,0,2,1,Gd,5,Typ,1,TA,A,1995,RFn,2,608,TA,TA,Y,237,152,0,0,0,0,No Pool,No Fence,No Feature,3,2010,Warranty Deed,Normal,236500,3.6635616461296463,8.592115117933497,15,14,0
RL,60,7500,Pave,No Alley,Reg,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,No Exposure,Unf,0,Unf,0,994,994,GasA,Gd,Y,SB,1028,776,0,1804,0,0,2,1,3,1,Gd,7,Typ,1,TA,A,1999,Fin,2,442,TA,TA,Y,140,60,0,0,0,0,No Pool,No Fence,No Feature,6,2010,Warranty Deed,Normal,189000,4.0943445622221,8.922658299524402,11,11,1
RL,75,10000,Pave,No Alley,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,No Exposure,Unf,0,Unf,0,763,763,GasA,Gd,Y,SB,763,892,0,1655,0,0,2,1,3,1,TA,7,Typ,1,TA,A,1993,Fin,2,440,TA,TA,Y,157,84,0,0,0,0,No Pool,No Fence,No Feature,4,2010,Warranty Deed,Normal,175900,4.31748811353631,9.210340371976184,17,16,1
